pair,signal_time,direction,close_price,fvg_4h_zone_active,ob_4h_zone_active,liq_sweep_1h,liq_sweep_qualified,bos_1h,choch_1h,msb_15m_confirmed,mtf_confluence,atr_ratio,bb_width,close_vs_ema20_4h,close_vs_ema50_4h,high_low_range_15m,trend_direction,momentum_long,momentum_short,macd_histogram,macd_signal_cross,rsi_14,rsi_zone,stoch_k,stoch_d,momentum_3bar,ob_4h_distance_pips,fvg_4h_fill_ratio,liq_sweep_strength,fvg_4h_size_pips,ob_4h_size_pips,sweep_depth_atr_ratio,prior_candle_body_ratio,consecutive_same_dir,sweep_pending_bars,open_positions_count,max_dd_24h,calendar_risk_score,sentiment_score,risk_appetite_score,usd_macro_score,jpy_macro_score,oil_shock_score,geopolitical_risk_score,session_type,day_of_week,future_close_price,future_return_pips,label
USDJPY,2025-09-25 12:45:00+00:00,long,149.245,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.457427844211721,0.3703687043362618,0.6387547306303114,0.9074370855707368,0.193000000000012,1.0,1.0,0.0,0.0420351731516172,0.0,78.23540159449065,0.0,82.2503961965143,81.06602844151706,0.2801892117074754,0.0,0.0,0.0802340447590516,30.19999999999925,0.0,0.0,0.8595238095238112,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,149.818,57.30000000000075,0
USDJPY,2025-09-25 13:00:00+00:00,long,149.216,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.4934632825034395,0.4263421701929776,0.6191994766037918,0.887829623508482,0.1400000000000147,1.0,1.0,0.0,0.0470327134023133,0.0,75.13930786345928,0.0,77.65451664025498,82.93822909095339,0.2553145744309142,0.0,0.0,0.0802340447590516,30.19999999999925,0.0,0.0,0.2487046632124291,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,149.79,57.399999999998386,0
USDJPY,2025-09-25 13:15:00+00:00,long,149.18,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.4777436488185562,0.456032001413411,0.5949239888467291,0.8634893257760241,0.0940000000000225,1.0,1.0,0.0,0.0449448188102084,0.0,71.36377887668371,0.0,71.94928684627695,77.28473322768208,-0.0113943309852047,0.0,0.0,0.0802340447590516,30.19999999999925,0.0,0.0,0.2214285714285903,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,149.886,70.59999999999889,0
USDJPY,2025-09-25 13:30:00+00:00,long,149.276,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.4986513019512195,0.5052425658418778,0.6596586228655631,0.928396786395912,0.1299999999999954,1.0,1.0,0.0,0.046846855101319,0.0,74.97488401546785,0.0,87.16323296355169,78.9223454833612,0.0207712151160882,0.0,0.0,0.0802340447590516,30.19999999999925,0.0,0.0,0.3617021276594008,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,149.86,58.40000000000032,0
USDJPY,2025-09-25 13:45:00+00:00,long,149.43,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.6007760000182716,0.579890664714844,0.7635037649374361,1.032519171140309,0.2139999999999986,1.0,1.0,0.0,0.0547446459294271,0.0,79.45140588893801,0.0,93.54838709677396,84.22030230220086,0.1434162556294222,0.0,0.0,0.0802340447590516,30.19999999999925,0.0,0.0,0.7307692307692476,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,149.806,37.60000000000048,0
USDJPY,2025-09-25 14:00:00+00:00,long,149.456,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.613052859257747,0.63819193561934,0.7810360616508576,1.0500982750581824,0.1359999999999956,1.0,1.0,0.0,0.057693009208113,0.0,80.09867360321981,0.0,97.04301075268552,92.5848769376704,0.1850113956294289,0.0,0.0,0.0802340447590516,30.19999999999925,0.0,0.0,0.7289719626168547,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,149.912,45.60000000000173,0
USDJPY,2025-09-25 14:15:00+00:00,long,149.446,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.5964125233445354,0.6831219323719261,0.7742928706072355,1.0433370812436171,0.1099999999999852,1.0,1.0,0.0,0.0549556791746604,0.0,79.06707946911223,0.0,94.75218658892112,95.11452814612689,0.1138830086551002,0.0,0.0,0.0802340447590516,30.19999999999925,0.0,0.0,0.1985294117646152,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,149.88,43.39999999999975,0
USDJPY,2025-09-25 14:30:00+00:00,long,149.534,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.6343600956987907,0.7347769121194677,0.8336329517911603,1.1028355868118411,0.164999999999992,1.0,1.0,0.0,0.0549270380317859,0.0,81.34410071844576,0.0,90.552147239264,94.11578152695688,0.069597804992294,0.0,0.0,0.0802340447590516,30.19999999999925,0.0,0.0,0.1272727272728353,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,149.867,33.29999999999984,0
USDJPY,2025-09-25 14:45:00+00:00,long,149.636,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.61228477713543,0.7933388756247652,0.9024135004361712,1.171799763720472,0.1090000000000088,1.0,1.0,0.0,0.0573659094887439,0.0,83.57438887653339,0.0,99.88109393579016,95.06180925465844,0.1204367840702325,0.0,0.0,0.0802340447590516,30.19999999999925,0.0,0.0,0.5272727272726866,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,149.89,25.399999999999068,0
USDJPY,2025-09-25 15:00:00+00:00,long,149.667,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.5466387308246818,0.8305273976785768,0.9233173926714228,1.1927594645456474,0.0630000000000166,1.0,1.0,0.0,0.0565617177250766,0.0,84.19289408164217,0.0,97.75533108866333,96.06285742123914,0.1478795016260078,0.0,0.0,0.0802340447590516,30.19999999999925,0.0,0.0,0.9357798165137208,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,149.794,12.700000000000955,0
USDJPY,2025-09-25 15:15:00+00:00,long,149.752,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.5255113380420056,0.8690570143926647,0.9806345165422689,1.2502296119695095,0.1040000000000134,1.0,1.0,0.0,0.0570842320746255,0.0,85.77460814414766,0.0,99.57983193277408,99.07208565240916,0.1457862425936695,0.0,0.0,0.0802340447590516,30.19999999999925,0.0,0.0,0.4761904761903687,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,149.784,3.1999999999982265,1
