pair,signal_time,direction,close_price,fvg_4h_zone_active,ob_4h_zone_active,liq_sweep_1h,liq_sweep_qualified,bos_1h,choch_1h,msb_15m_confirmed,mtf_confluence,atr_ratio,bb_width,close_vs_ema20_4h,close_vs_ema50_4h,high_low_range_15m,trend_direction,momentum_long,momentum_short,macd_histogram,macd_signal_cross,rsi_14,rsi_zone,stoch_k,stoch_d,momentum_3bar,ob_4h_distance_pips,fvg_4h_fill_ratio,liq_sweep_strength,fvg_4h_size_pips,ob_4h_size_pips,sweep_depth_atr_ratio,prior_candle_body_ratio,consecutive_same_dir,sweep_pending_bars,open_positions_count,max_dd_24h,calendar_risk_score,sentiment_score,future_close_price,future_return_pips,session_type,day_of_week,label
GBPJPY,2025-09-18 07:00:00+00:00,long,200.414,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.901506036712902,0.1668524085922944,0.1683807101999783,0.2695782466488777,0.1560000000000059,1.0,1.0,0.0,0.0088544852633908,0.0,59.133355614322014,0.0,59.99999999999656,66.86868686868782,-0.0478779113261202,0.0,0.0,0.0725477272060911,4.899999999997817,0.0,0.0,0.7080291970803511,1.0,0.0,0.0,0.0,0.0,0.0,200.79,37.60000000000048,1,3,0
GBPJPY,2025-09-18 07:15:00+00:00,long,200.42,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.8955583637968637,0.1708509494246702,0.1713795540145882,0.2725801201181958,0.0930000000000177,1.0,1.0,0.0,0.0057800280177894,0.0,59.59910691587852,0.0,57.43243243242971,57.62899262899069,-0.038404564656841,0.0,0.0,0.0725477272060911,4.899999999997817,0.0,0.0,0.1025641025640418,2.0,0.0,0.0,0.0,0.0,0.0,200.662,24.200000000001864,1,3,0
GBPJPY,2025-09-18 07:30:00+00:00,long,200.508,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.9124668222384044,0.1838547702771711,0.2153625966288758,0.316607597668204,0.1289999999999906,1.0,1.0,1.0,0.0086770399874417,0.0,65.76230014561915,-1.0,87.16216216216775,68.19819819819797,0.0543914889794903,0.0,0.0,0.0725477272060911,4.899999999997817,0.0,0.0,0.0752688172040349,3.0,0.0,0.0,0.0,0.0,0.0,200.657,14.900000000000091,1,3,0
GBPJPY,2025-09-18 07:45:00+00:00,long,200.568,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.9324087781817256,0.1944013627201614,0.2453510347749744,0.3466263323613849,0.1360000000000241,1.0,1.0,1.0,0.0133583157038816,0.0,69.21105902144026,-1.0,85.48387096774194,76.69282185411309,0.0768409392557529,0.0,0.0,0.0725477272060911,4.899999999997817,0.0,0.0,0.697674418604728,4.0,0.0,0.0,0.0,0.0,0.0,200.764,19.599999999999795,1,3,0
GBPJPY,2025-09-18 08:00:00+00:00,long,200.759,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0201394483491617,0.2497249043271093,0.3408142295400388,0.4421859711346609,0.2480000000000188,1.0,1.0,0.0,0.0272422008179196,0.0,77.1140839468564,0.0,94.46564885495712,89.03722732828889,0.1691447959285493,0.0,0.0,0.0725477272060911,4.899999999997817,0.0,0.0,0.4411764705881738,5.0,0.0,0.0,0.0,0.0,0.0,200.755,-0.39999999999906777,1,3,0
GBPJPY,2025-09-18 08:15:00+00:00,long,200.875,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.054406582795057,0.3196360041207857,0.398791876622501,0.5002221915414821,0.1740000000000066,1.0,1.0,0.0,0.0413178717459542,0.0,80.40393851161438,0.0,99.18166939443608,93.04372973904502,0.1830350908691873,0.0,0.0,0.0725477272060911,4.899999999997817,0.0,0.0,0.7701612903224175,6.0,0.0,0.0,0.0,0.0,0.0,200.745,-12.999999999999545,1,3,0
GBPJPY,2025-09-18 08:30:00+00:00,long,201.026,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.072556438213682,0.4023179340153754,0.4742627792901852,0.575769340519323,0.150999999999982,1.0,1.0,0.0,0.0569153268238618,0.0,83.69056881326355,0.0,99.73649538867178,97.79460454602162,0.2283514817917107,0.0,0.0,0.0725477272060911,4.899999999997817,0.0,0.0,0.6609195402299123,7.0,0.0,0.0,0.0,0.0,0.0,200.844,-18.200000000001637,1,3,0
GBPJPY,2025-09-18 08:45:00+00:00,long,201.096,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.1495721562922034,0.479724381771198,0.4605260032354372,0.5866980722557315,0.2519999999999811,1.0,1.0,0.0,0.0673500100444524,0.0,84.95066888208204,0.0,82.45264207377964,93.7902689522958,0.1678629600665561,0.0,0.0,0.0725477272060911,4.899999999997817,0.0,0.0,0.9735099337750812,8.0,0.0,0.0,0.0,0.0,0.0,200.917,-17.900000000000205,1,3,2
GBPJPY,2025-09-18 09:00:00+00:00,long,200.962,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.1788545214045505,0.5101297140766179,0.3935842913941523,0.5196722858567789,0.186000000000007,1.0,1.0,0.0,0.0608294568322796,0.0,73.27890175156992,0.0,69.09272183449585,83.76061976564905,0.0433105164903492,0.0,0.0,0.0725477272060911,4.899999999997817,0.0,0.0,0.2738095238096111,1.0,0.0,0.0,0.0,0.0,0.0,200.978,1.6000000000019554,1,3,0
GBPJPY,2025-09-18 09:15:00+00:00,long,200.986,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.1614768569845544,0.5343689908453878,0.4055738517239339,0.531676904316292,0.1140000000000043,1.0,1.0,0.0,0.0539680563221616,0.0,73.96875370649722,0.0,69.95798319327712,73.83444903385085,-0.0198979236516771,0.0,0.0,0.0725477272060911,4.899999999997817,0.0,0.0,0.6989247311828976,1.0,0.0,0.0,0.0,0.0,0.0,200.908,-7.800000000000296,1,3,0
GBPJPY,2025-09-18 09:30:00+00:00,long,201.011,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.1350755001358843,0.5501316240421136,0.4180629770674586,0.5441817152116205,0.0970000000000084,1.0,1.0,0.0,0.0471935188285437,0.0,74.70142816288177,0.0,71.25550660792958,70.10207054523416,-0.0422683693360424,0.0,0.0,0.0725477272060911,4.899999999997817,0.0,0.0,0.2105263157894736,2.0,0.0,0.0,0.0,0.0,0.0,200.758,-25.29999999999859,1,3,2
GBPJPY,2025-09-18 09:45:00+00:00,long,200.964,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.105073199821839,0.5523814460251045,0.3945834214216389,0.5206726707284098,0.0860000000000127,1.0,1.0,0.0,0.0361261224700861,0.0,70.67408342091389,0.0,66.07929515418535,69.09759498513067,0.0009952130253528,0.0,0.0,0.0725477272060911,4.899999999997817,0.0,0.0,0.2577319587629228,1.0,0.0,0.0,0.0,0.0,0.0,200.627,-33.69999999999891,1,3,0
GBPJPY,2025-09-18 10:00:00+00:00,long,201.05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0998258725400247,0.5598052775543664,0.4375460126033607,0.5636892202083362,0.1219999999999856,1.0,1.0,0.0,0.0313536270938408,0.0,73.49038172072406,0.0,75.5506607929534,70.96182085168942,0.0318430139412801,0.0,0.0,0.0725477272060911,4.899999999997817,0.0,0.0,0.5348837209300634,1.0,0.0,0.0,0.0,0.0,0.0,199.656,-139.40000000000055,1,3,2
