pair,signal_time,direction,close_price,fvg_4h_zone_active,ob_4h_zone_active,liq_sweep_1h,liq_sweep_qualified,bos_1h,choch_1h,msb_15m_confirmed,mtf_confluence,atr_ratio,bb_width,close_vs_ema20_4h,close_vs_ema50_4h,high_low_range_15m,trend_direction,momentum_long,momentum_short,macd_histogram,macd_signal_cross,rsi_14,rsi_zone,stoch_k,stoch_d,momentum_3bar,ob_4h_distance_pips,fvg_4h_fill_ratio,liq_sweep_strength,fvg_4h_size_pips,ob_4h_size_pips,sweep_depth_atr_ratio,prior_candle_body_ratio,consecutive_same_dir,sweep_pending_bars,open_positions_count,max_dd_24h,calendar_risk_score,sentiment_score,future_close_price,future_return_pips,session_type,day_of_week,label
EURUSD,2025-05-01 14:45:00+00:00,short,1.12818,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.5292991709778757,-0.6440681101402348,-0.6920010854522746,0.0021599999999999,-1.0,1.0,0.0,-0.0004794916894262,0.0,30.908543465502436,1.0,17.101449275361954,12.792113333004764,-0.1133284932622623,0.0,0.0,0.0,0.0,0.0,0.0,0.2282608695650154,4.0,0.0,0.0,0.0,0.0,0.0,1.13504,68.60000000000088,3,3,1
EURUSD,2025-05-01 15:00:00+00:00,short,1.12866,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.5712040575224895,-0.6017957357787532,-0.6497491048472412,0.0012099999999999,-1.0,1.0,0.0,-0.0004610289687434,0.0,34.946592858488785,1.0,24.05797101449301,16.93819756788334,-0.0389690904260026,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333676,1.0,0.0,0.0,0.0,0.0,0.0,1.13451,58.499999999999105,3,3,1
EURUSD,2025-05-01 15:15:00+00:00,short,1.12812,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.6243607448874935,-0.6493521569354151,-0.6972825830278989,0.0015799999999999,-1.0,1.0,0.0,-0.0004571950164214,0.0,32.635711894817206,1.0,16.231884057971378,19.130434782608777,-0.0673233647509118,0.0,0.0,0.0,0.0,0.0,0.0,0.4049586776860566,1.0,0.0,0.0,0.0,0.0,0.0,1.1342,60.80000000000085,3,3,1
EURUSD,2025-05-01 15:30:00+00:00,short,1.1268,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.6985631538677888,-0.7656011864294796,-0.8134755296917308,0.0015,-1.0,0.0,0.0,-0.0005114668126717,0.0,27.79694541253984,0.0,0.5602240896364206,13.6166930540336,-0.1223209062383606,0.0,0.0,0.0,0.0,0.0,0.0,0.341772151898743,2.0,0.0,0.0,0.0,0.0,0.0,1.13318,63.80000000000052,3,3,0
EURUSD,2025-05-01 15:45:00+00:00,short,1.12794,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.7094430306540427,-0.6652042973209756,-0.7131270757547913,0.00146,-1.0,0.0,0.0,-0.0004411559598757,0.0,36.54697475433022,0.0,18.579234972677995,11.79044770676193,-0.0637924618574286,0.0,0.0,0.0,0.0,0.0,0.0,0.8733333333332485,1.0,0.0,0.0,0.0,0.0,0.0,1.13466,67.20000000000059,3,3,1
EURUSD,2025-05-01 16:00:00+00:00,short,1.12825,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.7033863258270996,-0.6379033888791846,-0.6858393382807064,0.0009799999999999,-1.0,0.0,0.0,-0.0003484081046108,0.0,38.72168924799031,0.0,27.0226537216835,15.387370927999305,0.0115235967804811,0.0,0.0,0.0,0.0,0.0,0.0,0.7808219178081546,2.0,0.0,0.0,0.0,0.0,0.0,1.13374,54.89999999999995,2,3,1
EURUSD,2025-05-01 16:15:00+00:00,short,1.12796,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.6750673091627529,-0.6634429483892358,-0.7113665765629035,0.0010499999999999,-1.0,0.0,0.0,-0.0002839556724513,0.0,37.42933085782882,0.0,22.330097087380945,22.64399526058081,0.1029463968761137,0.0,0.0,0.0,0.0,0.0,0.0,0.3163265306122842,1.0,0.0,0.0,0.0,0.0,0.0,1.13362,56.59999999999998,2,3,1
EURUSD,2025-05-01 16:30:00+00:00,short,1.12819,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.6524786965824234,-0.6431874356743649,-0.6911208358563307,0.0006599999999998,-1.0,0.0,0.0,-0.0002067845887164,0.0,39.16356196161975,0.0,27.47440273037744,25.60905117981396,0.0221642995194853,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142555,1.0,0.0,0.0,0.0,0.0,0.0,1.13294,47.50000000000032,2,3,1
EURUSD,2025-05-01 17:45:00+00:00,short,1.1283,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.557082981301555,-0.5800208348767248,-0.6575655726318168,0.0004599999999999,-1.0,0.0,0.0,4.51697691725e-05,0.0,41.62138997256993,0.0,64.66165413534199,49.09147869674384,-0.0726229275896114,0.0,0.0,0.703058811501228,0.0,0.0,0.703058811501228,0.0952380952381707,1.0,5.0,0.0,0.0,0.0,0.0,1.13728,89.79999999999987,2,3,1
EURUSD,2025-05-01 18:00:00+00:00,short,1.12874,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.4965904755107854,-0.5412503032515774,-0.6188252809114927,0.00126,-1.0,0.0,0.0,9.1427166817e-05,0.0,45.13743921909433,0.0,81.50943396226899,66.0482574360464,0.0469770698717562,0.0,0.0,0.703058811501228,0.0,0.0,0.703058811501228,0.2826086956526356,2.0,6.0,0.0,0.0,0.0,0.0,1.1369,81.59999999999944,2,3,1
