pair,signal_time,direction,close_price,fvg_4h_zone_active,ob_4h_zone_active,liq_sweep_1h,liq_sweep_qualified,bos_1h,choch_1h,msb_15m_confirmed,mtf_confluence,atr_ratio,bb_width,close_vs_ema20_4h,close_vs_ema50_4h,high_low_range_15m,trend_direction,momentum_long,momentum_short,macd_histogram,macd_signal_cross,rsi_14,rsi_zone,stoch_k,stoch_d,momentum_3bar,ob_4h_distance_pips,fvg_4h_fill_ratio,liq_sweep_strength,fvg_4h_size_pips,ob_4h_size_pips,sweep_depth_atr_ratio,prior_candle_body_ratio,consecutive_same_dir,sweep_pending_bars,open_positions_count,max_dd_24h,calendar_risk_score,sentiment_score,future_close_price,future_return_pips,session_type,day_of_week,label
EURUSD,2025-09-18 07:00:00+00:00,long,1.18146,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0296425849207271,0.4081564885559362,0.0831333075414743,0.437968532956921,0.0022299999999999,1.0,1.0,1.0,0.000121830958545,1.0,55.94520513117384,0.0,95.79831932772854,59.03547154876818,0.2197019179383536,0.0002199999999998,0.0,3.349897595990284,13.299999999998311,16.599999999999948,0.0,0.2999999999997779,1.0,0.0,0.0,0.0,0.0,0.0,1.17744,-40.19999999999912,1,3,0
EURUSD,2025-09-18 07:15:00+00:00,short,1.18246,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0442544144618149,0.4164234937853863,0.1678447097959329,0.522980271427092,0.0010999999999998,1.0,0.0,1.0,0.0002932337466963,0.0,61.28448882287456,0.0,98.22222222222535,77.51504390463067,0.2339577858777736,0.0,0.0,3.349897595990284,13.299999999998311,0.0,0.0,0.9058295964125346,2.0,0.0,0.0,0.0,0.0,0.0,1.17796,-45.000000000001705,1,3,0
EURUSD,2025-09-18 07:30:00+00:00,long,1.18344,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0798709631934469,0.4630640227022883,0.2508618840052915,0.6062917751278486,0.00137,1.0,0.0,2.0,0.000453773352854,0.0,65.67496442835042,-1.0,98.1818181818184,97.40078657725742,0.3382932722879255,0.0,0.4060150375940251,3.349897595990284,13.299999999998311,0.0,0.0,0.8909090909091717,3.0,0.0,0.0,0.0,0.0,0.0,1.17779,-56.50000000000155,1,3,2
EURUSD,2025-09-18 07:45:00+00:00,short,1.18316,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.064417993818074,0.4919513405678545,0.2271426913740408,0.5824884883561985,0.0007899999999998,1.0,0.0,1.0,0.0005176438778885,0.0,63.46060843839562,0.0,87.97250859106649,94.7921829983701,0.1438897635129445,0.0,0.1954887218044811,3.349897595990284,13.299999999998311,0.0,0.0,0.715328467153222,1.0,0.0,0.0,0.0,0.0,0.0,1.17762,-55.400000000001,1,3,0
EURUSD,2025-09-18 08:00:00+00:00,short,1.18262,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0621466695072064,0.5054173997009277,0.1813985341566396,0.5365821495823125,0.0009400000000001,1.0,0.0,1.0,0.0004998034895043,0.0,59.30746109061602,0.0,78.69415807560273,88.2828282828292,0.0135311131031864,0.0,0.0,3.349897595990284,13.299999999998311,0.0,0.0,0.37974683544307,2.0,0.0,0.0,0.0,0.0,0.0,1.17774,-48.799999999999955,1,3,0
EURUSD,2025-09-18 08:15:00+00:00,short,1.18242,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0326456292438226,0.5173497775803565,0.1644562537057516,0.5195798018882821,0.0006099999999999,1.0,0.0,1.0,0.000452242358677,0.0,57.79872836487933,0.0,75.25773195876458,80.64146620847794,-0.0861894139119871,0.0,0.0,3.349897595990284,13.299999999998311,0.0,0.0,0.5744680851062673,3.0,0.0,0.0,0.0,0.0,0.0,1.17871,-37.10000000000102,1,3,0
EURUSD,2025-09-18 08:30:00+00:00,long,1.18308,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0370898790265035,0.5452788249247563,0.2203657791936781,0.5756875492785787,0.0009999999999998,1.0,0.0,1.0,0.0004423985144108,0.0,61.29768488665104,0.0,86.5979381443297,80.18327605956567,-0.0067615538050711,0.0,0.1353383458645637,3.349897595990284,13.299999999998311,0.0,0.0,0.360655737704733,1.0,0.0,0.0,0.0,0.0,0.0,1.17898,-40.99999999999992,1,3,2
EURUSD,2025-09-18 08:45:00+00:00,long,1.18277,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0246586009155698,0.5644166720018742,0.1755865714244696,0.5276777290565341,0.0007999999999999,1.0,0.0,1.0,0.0003937997156325,0.0,58.83041116227662,0.0,81.27147766323324,81.04238258877585,0.0126837022881478,0.0001099999999998,0.0,3.349897595990284,13.299999999998311,34.999999999998366,0.0,0.6800000000000889,1.0,0.0,0.0,0.0,0.0,0.0,1.17369,-90.80000000000199,1,3,2
EURUSD,2025-09-18 09:00:00+00:00,short,1.18387,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0419799719214873,0.6070270401575272,0.2687518911641948,0.6211705006874936,0.00116,1.0,0.0,1.0,0.0004125430482857,0.0,64.31861945196488,0.0,99.82876712328655,89.2327276436165,0.1226298607939608,0.00099,0.0,3.349897595990284,0.0,34.999999999998366,0.0,0.399999999999889,1.0,0.0,0.0,0.0,0.0,0.0,1.17421,-96.60000000000001,1,3,2
EURUSD,2025-09-18 09:15:00+00:00,short,1.18398,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0124809619448525,0.6461346685103311,0.278068423138173,0.6305197778505953,0.0006000000000001,1.0,0.0,1.0,0.0004083928115813,0.0,64.82361774615393,0.0,97.6973684210522,92.93253773585734,0.0760726239983875,0.0011000000000001,0.0,3.349897595990284,0.0,34.999999999998366,0.0,0.9396551724137832,2.0,0.0,0.0,0.0,0.0,0.0,1.17336,-106.20000000000073,1,3,2
